'Page number,'Layout,'Text,'Reading Order,'Confidence score % (Layout)
'5,'Text 28,"'As a result of taking a much broader definition of security, Sweden's armed forces are undergoing rapid reorganisation. The aim is to produce armed forces that can react rapidly and flexibly to a range of threats, both internal and external. Key aspects of the restructuring are new command-and-control systems; expansion of research and development; and reduction of military manpower.",'52,'92.28515625
'5,'Text 29,"'Like the United States, Sweden hopes that by linking all elements of its armed forces into one- command-and-communications network, the forces' overall capabilities and flexibility will be greatly increased. To this end - and unlike the US - the Swedish Ministry of Defence is cooperating with commercial information-technology firms to create a command, control, com- munications, computer, intelligence, surveillance and reconnaissance (C4ISR) system, LedsysT, capable of meeting the challenges of various military operating environments and tasks. It is hoped that by using civilian technology, LedsysT will be easier to update than if military technology alone were used. Overall the unusually large part - some 50% - of the Swedish defence budget that is being spent on research and development is to ensure that the military platforms produced are capable of meeting new tasks such as rapid deployment, which are part of the new thinking.",'53,'94.43359375
'5,'Text 30,"'The third aspect of Sweden's military restructuring is the rapid and sizeable reduction in defence personnel and platforms. In 2000, the Swedish Navy had 24 surface vessels; by 2005, it will have only 12. Submarines will be reduced from nine to five over the same period. The air force and army are being similarly reduced: in 2000, the air force had 13 fighter squadrons; by 2004, it will have only eight. The marked improvements in C4ISR systems and in platform capability are expected to result in greater capability for Sweden's armed forces, despite manpower reductions of nearly 50%.",'54,'94.28710938
'6,'Header 5,"'NATO and Non-NATO Europe 33",'55,'37.93945313
'6,'Section header 10,"'Terrorism",'56,'75.92773438
'6,'Text 31,"'Domestic terrorism in Western Europe has increased marginally since autumn 2000, with low- level attacks by Irish Republican Army (IRA) splinter groups in UK and more substantial operations by the Basque separatist group Euskadi ta Askatasuna (ETA) following the end of a 14- month cease-fire in 2000.",'57,'97.55859375
'6,'Text 32,"'In Northern Ireland, the Provisional Irish Republican Army (IRA), the largest and most formidable anti-British republican group, has maintained a cease-fire. Since June 2000, it has allowed three limited weapons inspections of two arms dumps (representing a fraction of its estimated 100-tonne arsenal) in an effort to further the faltering peace process. During that period, however, four IRA members were prosecuted in Florida for gun running, and the IRA killed a member of a rival republican group in Belfast, executed several drug-dealers, smuggled weapons into Ireland and continued vigilantism in republican areas of Northern Ireland.",'58,'97.41210938
'6,'Text 33,"'The dissident Real IRA and Continuity IRA appear to be converging organisationally and operationally, and are believed to be slowly increasing their ranks, which may now exceed 200. The Real IRA was added to the US State Department's list of proscribed terrorist organisations in May 2001. The two groups have purchased light and crew-served weapons as well as explosives from suppliers in Eastern Europe, and as a result of defections possess a small portion of the Provisional IRA's former stock. Three Real IRA members, suspected of attempting to buy arms, were arrested in Slovakia in July 2001. The group has mounted several attacks on the British mainland since September 2000, targeting the MI6 headquarters, a British Territorial Army barracks and BBC studios. There were no fatalities, but a young cadet was blinded. Both the Provisional IRA and the splinter groups have continued their illegal fundraising activities. They are unlikely to halt violence in the near future.",'59,'94.82421875
'6,'Text 34,"'In July 2001, the Ulster Freedom Fighters (UFF), one of the two main loyalist paramilitary groups, withdrew its support for the Belfast Agreement. The UFF has maintained its seven-year cease-fire, but loyalists have increasingly feuded and engaged in violent political protest. The Progressive Unionist Party (PUP) - the political wing of the Ulster Volunteer Force, the other key loyalist paramilitary group - walked out of talks on disarmament. These developments reflect growing disenchantment with the peace process among loyalists, and make their return to violence more likely. All loyalist paramilitary groups appear to be engaged in criminal financial enterprises.",'60,'93.65234375
'6,'Text 35,"'ETA has stepped up its terrorist campaign in Spain. In the period from the end of its cease-fire in November 2000 to mid-July 2001, the group killed 34 people. Although the Spanish security forces have had some anti-terrorist successes in the past year, ETA is well-supported by its illegal activities and appears to have sufficient supplies of explosives and small arms to continue its campaign at this level. Prospects for another cease-fire, though still low, may be better than they were a year ago. Voters manifested disapproval of ETA's emphatic return to violence, as Euskal Herriatok, ETA's political wing, lost seven of its 14 regional parliamentary seats in the May 2001 elections. On the other hand, Madrid has maintained an uncompromising stance on further autonomy, with strong public support. This resistance to ETA demands is likely to incite the group to continue rather than draw down its violent campaign.",'61,'95.11718750
'6,'Text 36,"'In Turkey, the Kurdistan Workers' Party (PKK) continues relatively quiescent following its August 1999 cease-fire. Reportedly only 400-500 armed PKK guerrillas remain in scattered groups in south-eastern Turkey. In the period January-June 2001, there have been about 100 people killed, mostly PKK, in isolated clashes between security forces and militants. This is compared to 2,000 dead per year in 1997-99- PKK fundraising via narcotics sales and human trafficking appears to have fallen and the group now lacks the funds to mount an effective armed",'62,'93.84765625
'7,'Section header 11,"'34NATO and Non-NATO Europe",'63,'85.30273438
'7,'Text 37,"'campaign. There is much PKK frustration at the government's failure to liberalise its policy on Kurdish cultural rights, which was supposed to occur after the cease-fire. Up to 5,000 PKK militants are in camps, mainly in northern Iraq, with a small number in northern Iran. In late 2000, both northern Iraqi Kurd groups, the Patriotic Union of Kurdistan (PUK) and the Kurdistan Democratic Party (KDP) aligned themselves against the PKK, but are as yet reluctant to act. The Turkish military, which maintains a small presence in northern Iraq, fears that the PKK will link up with non-Kurdish left-wing groups and launch a new campaign in Turkish urban areas. The military is believed to be contemplating an offensive in anticipation of this development, although the terrain and the PKK escape routes into Iran would make any military operation difficult. In any event, financial and political constraints on the group suggest that a surge in PKK terrorist violence in Turkey is highly unlikely in the short term.",'64,'98.63281250
'7,'Text 38,"'Since the June 2000 assassination of British military attaché Brigadier Stephen Saunders in Athens by the terrorist group 17 November, the Greek government has taken stronger legal and administrative counter-terrorism measures. In the last twelve months, Greek anti-terrorist cooperation with other countries, in particular the US and UK, has improved. Given the staging of the 2004 Olympic Games in Athens, such developments are vital. More broadly, European efforts to thwart terrorists conducted or sponsored by the international terrorist, Osama bin Laden's al-Qa'ida group have borne results, with arrests of significant group members in the UK in December 2000; in Germany in February 2001; and in Italy in April 2001.",'65,'95.36132813
'7,'Section header 12,"'DEFENCE SPENDING",'66,'63.52539063
'7,'Section header 13,"'NATO Trends",'67,'81.15234375
'7,'Text 39,"'In 2000, defence expenditure by European NATO countries continued the decline of recent years, falling by 6.7% in real terms from $177br in 1999 to $165bn in 2000 (measured in constant 2000 US dollars). However, when measured in real local currency the defence spending of 7 out of the 15 EU nations rose. Spain, for example, increased its defence spending by 5.2%, and Greece by 4.8% when measured in local currency terms. Budgets set for 2001 suggest that the overall trend will continue, with a likely fall of around 5-8%.",'68,'94.82421875
'7,'Text 40,"'The bigger picture, however, remains unchanged. European spending on research and development remains about a quarter of that spent by the United States and, with US R&D spending likely to increase over coming years, that gap will widen further. Likewise, the United States accounted for 62% of all NATO funds allocated to procurement in 2000. The overall defence spending increases proposed by the US administration for 2002 and beyond are unlikely to be matched by Europe.",'69,'94.82421875
'7,'Text 41,"'Although UK spending on defence is budgeted to increase at around 1.5% a year, the National Audit Office reported that the 'smart procurement' process introduced in the 1998 Strategic Defence Review has yet to produce the intended efficiency gains. It noted that the UK's 25 major defence projects are running $2.7bn over budget and roughly four years late.",'70,'91.40625000
'7,'Text 42,"'The first of four Boeing C-17 military cargo aircraft being leased by the Royal Air Force arrived in the UK in May 2001. The remaining three were due to be delivered by August 2001. The original contract, in the region of $750m, lasts for seven years, with the possibility of two further annual extensions. The aircraft were leased as an interim step pending the introduction of the A- 400M.",'71,'94.33593750
'7,'Text 43,"'In May 2001, Greece announced that it intends to extend its current five-year procurement plan worth Dr3.95tr ($10.1bn) until 2008. Although there will be no cuts, most new programmes will not be initiated until after 2005, including the procurement of the Eurofighter. Greece has",'72,'93.40820313
'8,'Table 2,"",'73,'95.99609375
'8,'Footer 2,"'NATO and Non-NATO Europe",'74,'50.29296875
'9,'Section header 14,"'36NATO and Non-NATO Europe",'75,'48.33984375
'9,'Text 44,"'continued to affirm its intention to procure the Eurofighter, but the shift in timing will place the procurement after the country's next general election in 2004, which could bring a change in policy.",'76,'88.91601563
'9,'Text 45,"'The Polish parliament approved a z105bn ($26.2bn) defence plan for the period 2001-06, stipulating that Warsaw will spend no less than 1.95% of its gross national product on defence in an effort to bring the Polish armed forces closer to NATO's military and interoperability standards. Further funds may also be allocated for the acquisition of 60 fighter aircraft.",'77,'94.09179688
'9,'Text 46,"'France's move to all-professional armed forces is due to be completed by 2003. The defence budget has declined by around 15% since 1996. Most of the savings are from personnel reductions following the elimination of conscription. These freed-up funds have enabled a modest increase in procurement while keeping the operations and maintenance budget constant.",'78,'92.48046875
'9,'Text 47,"'Italy boosted its defence budget in local currency terms from L32.8tr ($16bn) in 2000 to L34.2 ($15.4bn) in 2001 to continue its major reorganisation and modernisation programme. Under current plans the army will be entirely professional by 2006. The first women entered service in 2000. The most significant funding increase was given to research and development, which rose to L673.6bn from L458.7bn. The air force chose the Lockheed Martin F-16 aircraft as its interim replacement for the ageing Starfighters and Tornado ADV currently leased from the UK. Italy will lease 34 fighter aircraft for 10 years, beginning mid-2003, until sufficient Eurofighters are fully operational. The Italian Navy ordered a 22,000-tonne aircraft carrier that will initially operate Harrier STOVL and EH-101 helicopters and will be commissioned in 2007.",'79,'93.60351563
'9,'Text 48,"'Norway announced a radical armed forces restructuring plan in February 2001 calling for base closures and a large cut in personnel. In line with the European trend, the Norwegian Defence Ministry is shifting the role of its armed forces away from the defence of national territory to one of participating in out-of-area operations as part of an international coalition force. The defence budget is set to fall over the next four years. Cuts include reducing the army field force from six to three brigades, the disbandment of the fast-attack force equipped with 14 Hauk Fast Patrol craft and trimming the F-16 fighter fleet by ten to 48 operational aircraft.",'80,'91.06445313
'9,'Text 49,"'The draft for the German defence budget for 2002 has been agreed as DM46.2bn, a reduction from the FY2001 budget of DM46.8bn; however, the Chancellor agreed on 29 May that a further DM500m would be released each year up to 2005-06. Taking this extra money into account, the overall reduction is only around DM300m. According to critics, the additional money represents only the finance necessary to cover the cost of reform, rather than an add-back for real defence needs. They question the German government's ability to reconcile the country's increasing security commitments to NATO and the EU with a shrinking defence budget. Germany's defence spending as a share of gross domestic product (GDP) is unlikely to rise to 2% and there is little public support for an increase.",'81,'95.65429688
'9,'Section header 15,"'Turkey",'82,'76.22070313
'9,'Text 50,"'The dramatic devaluation of the Turkish lira in late 2000 cut the dollar value of the 2001 defence budget from around $7bn to $4.9bn. This was in line with demands made by the International Monetary Fund (IMF), which initiated a rescue package of $14bn as part of a major fiscal recovery programme. The procurement element of the budget was cut by $500m, placing many major programmes on hold or putting them under threat.",'83,'97.31445313
'9,'Section header 16,"'Major EU and NATO aircraft equipment programmes",'84,'72.80273438
'9,'Text 51,"'A-400M To meet the requirement for airlift, EU countries plan to purchase up to 200 A-400M aircraft. No firm orders had been placed by 1 August 2001. Original letters of intent indicated a total order of 225, with a breakdown by country as follows: Belgium seven; France 50, Germany",'85,'95.45898438
'10,'Header 6,"'NATO and Non-NATO Europe 37",'86,'66.11328125
'10,'Text 52,"'73, Italy 16, Spain 27, Turkey 26, UK 25 and Luxembourg one. However, the order has already shrunk to 212 and may be further reduced as countries face economic recession. The earliest in- service date for the A-400M fleet is 2008. The acquisition of this aircraft will enable larger numbers of personnel with light and medium armour to be moved greater distances. Each aircraft is currently estimated to cost about $85m, although the final price will depend on how many are ordered.",'87,'99.16992188
'10,'Text 53,"'Eurofighter Developed by Germany, Italy, Spain and the UK, the fifth-generation combat aircraft Eurofighter is expected to enter service in June 2002. The four consortium countries have SO far ordered 620 aircraft between them, while Greece is committed to 60. A number of other countries have expressed an interest in purchasing the aircraft, including Australia, Chile, Brazil, South Korea, Saudi Arabia and Turkey. The cost of each aircraft ordered for the UK will be about £30m. Contracts for fighter's industrial support network are to be signed by the end of 2001.",'88,'74.02343750
'10,'Text 54,"'Joint Strike Fighter (JSF) At present, flight-testing of the Boeing X-32 and Lockheed Martin X- 35 JSF-concept demonstrator aircraft is continuing at pace, with the purpose of selecting the best design and starting the engineering and manufacturing development phase in October 2001. There will be three basic versions of the JSF: conventional, carrier-capable and short take-off/ vertical landing capable (STOVL). The US Air Force plans to buy 1,763 aircraft to replace the F-16 and A-10. The US Navy will buy 480 to replace the F-14D and F/A-18C/D and the US Marine Corps is planning to purchase 609 to replace the AV-8B and F/A-18C/D. The UK is expected to order 150, to replace the Harrier GR7 and Sea Harrier FA2.",'89,'84.32617188
'10,'Section header 17,"'Non-NATO Europe",'90,'88.76953125
'10,'Text 55,"'Defence spending in 2000 (measured in constant 2000 US dollars) by the non-NATO European countries was virtually unchanged as increases in spending by Romania and Yugoslavia were offset by decreases in Switzerland, Ukraine and Belarus.",'91,'86.23046875
'10,'Text 56,"'In the Transcaucasus, Georgia cut its 2001 defence budget by 20% in dollar terms and took delivery of the first 11 of 120 T-55AM2 main battle tanks from the Czech Republic. The tanks were upgraded five years ago. It is the first time that Georgia has purchased significant quantities of weapons from another country since independence. In the Ukraine, the defence budget for 2001 rose in local currency terms by h75om to h3. 1bn ($580m). The minimum needed to maintain the current armed forces is thought to be around h6bn ($1.1bn). The defence budget allocated just 14% to procurement, upgrades and weapons modernisation, detailing as priorities the procurement of 65 AN-70 aircraft and upgrades to the fleet of MiG29 and Su-25 attack aircraft. As in recent years, the gap between the official budget and the actual requirement was to be 'found through economies'.",'92,'96.19140625
'10,'Text 57,"'Romania again significantly increased its defence budget in 2001, with a 30% rise to US$1bn, to finance the radical restructuring announced last year. The defence minister said that $200m would be spent on equipment purchases to help the effort to join NATO.",'93,'91.99218750
'10,'Text 58,"'Austria made little change to its 2001 defence budget, but stated an intention to increase spending in 2002 to meet a goal of 1% of GDP. The army ordered nine S-70A Black Hawk transport helicopters, the first transatlantic defence order by Austria for twenty years.",'94,'92.77343750
'10,'Text 59,"'Swedish defence spending was virtually unchanged as the new downsizing and reform process got underway. The old military structure is being streamlined and transformed into a more mobile and flexible force. An important aspect of reform is the merging of the chain of command into one operational and tactical command. The sweeping changes to force structure and the need for improved intelligence and command-and-control assets have led to around 50% of the defence budget being spent on procurement and research. Despite the projected fall in overall spending of almost 10% over the years to 2005, it is hoped that this level can be maintained.",'95,'96.58203125
'11,'Title 3,"'38NATO and Non-NATO Europe",'96,'38.86718750
'11,'Text 60,"'Table 11 Arms orders and deliveries, NATO Europe and Canada, 1998-2001",'97,'44.65332031
'11,'Table 3,"",'98,'97.36328125
'12,'Title 4,"'NATO and Non-NATO Europe 39",'99,'41.01562500
'12,'Table 4,"",'100,'97.36328125
'13,'Text 61,"'40 NATO and Non-NATO Europe",'101,'45.33691406
'13,'Table 5,"",'102,'97.75390625
'14,'Text 62,"'NATO and Non-NATO Europe 41",'103,'50.29296875
'14,'Table 6,"",'104,'90.13671875
'15,'Text 63,"'42 NATO and Non-NATO Europe",'105,'53.22265625
'15,'Table 7,"",'106,'97.99804688
'16,'Text 64,"'NATO and Non-NATO Europe 43",'107,'37.74414063
'16,'Table 8,"",'108,'97.26562500
'17,'Text 65,"'NATO and Non-NATO Europe",'109,'44.26269531
'17,'Table 9,"",'110,'96.87500000
'18,'Header 7,"'NATO and Non-NATO Europe 45",'111,'73.24218750
'18,'Text 66,"'Table 12 Arms orders and deliveries, Non-NATO Europe, 1998-2001",'112,'39.99023438
'18,'Table 10,"",'113,'93.11523438
'19,'Text 67,"'46 NATO and Non-NATO Europe",'114,'53.90625000
'19,'Table 11,"",'115,'97.07031250
'20,'Text 68,"'NATO and Non-NATO Europe 47",'116,'40.91796875
'20,'Table 12,"",'117,'96.28906250
'21,'Section header 18,"'48 NATO and Non-NATO Europe",'118,'46.67968750
'21,'Text 69,"'Belgium Be",'119,'34.91210938
'21,'Table 13,"",'120,'95.84960938
'21,'Section header 19,"'Total Armed Forces",'121,'74.85351563
'21,'Text 70,"'ACTIVE 39,420",'122,'34.81445313
'21,'Text 71,"'(incl 1,860 Medical Service; 3,230 women)",'123,'53.22265625
'21,'Text 72,"'RESERVES 100,500",'124,'50.68359375
'21,'Text 73,"'Army 71,500 Navy 3,300 Air Force 10,000 Medical Service 15,700",'125,'80.32226563
'21,'Section header 20,"'Army 26,400",'126,'49.90234375
'21,'Text 74,"'(incl 1,500 women)",'127,'57.17773438
'21,'List 2,"",'128,'94.28710938
'21,'Text 75 - Part of List 2,"'1 joint service territorial comd (incl 2 engr, 2 sigs bn)",'129,'82.27539063
'21,'Text 76 - Part of List 2,"'1 op comd HQ",'130,'45.50781250
'21,'Text 77 - Part of List 2,"'1 mech inf div with 3 mech inf bde (each 1 tk, 2 armd inf, 1 SP arty bn, 1 engr coy) (2 bde at 70%, 1 bde at 50% cbt str), 1 AD arty bn, 2 recce (incl 1 UAV), 1 MP coy; 1 recce bn (MNDC)",'131,'94.92187500
'21,'Text 78 - Part of List 2,"'1 cbt spt div (5 mil schools forming, 1 arty, 1 engr bn- augment mech inf div, plus 1 inf, 1 tk bn for bde at 50% cbt str)",'132,'96.14257813
'21,'Text 79 - Part of List 2,"'1 para-cdo bde (2 para, 1 cdo, 1 recce/SF bn, 1 arty, 1 AD bty, 1 engr coy)",'133,'93.99414063
'21,'Text 80 - Part of List 2,"'1 It avn gp (2 ATK, 1 obs bn)",'134,'90.91796875
'21,'Text 81,"'RESERVES",'135,'46.28906250
'21,'Text 82,"'Territorial Defence 11 It inf bn (9 province, 1 gd, 1 reserve)",'136,'88.37890625
'21,'Text 83,"'EQUIPMENT",'137,'39.69726563
