'Page number,'Layout,'Text,'Reading Order,'Confidence score % (Layout)
'3,'Text 15,"'NATO deployed a number of its AWACS aircraft to Turkey and, after a request by the Turkish government, the air component of NATO's ACE Mobile Force was also deployed. This was entirely a political gesture as the aircraft involved (Belgian Mirage 5, German Alpha Jets and Italian F-104) were all close air support aircraft and were based at airfields out of range of the Turkish-Iraqi border. German air defence units with Roland and Hawk SAM",'24,'96.38671875
'4,'Page number 3,"'48",'25,'93.75000000
'4,'Header 3,"'NATO",'26,'75.19531250
'4,'Text 16,"'were also deployed to Turkey, and the Netherlands provided two batteries of Patriot and one of Hawk SAM.",'27,'98.29101563
'4,'Text 17,"'Troops from a number of NATO countries were deployed to northern Iraq following the crushing of the Kurdish and Shi'a insurrections in Iraq and the subsequent exodus of Kurds into the mountains in northern Iraq and over the borders into Turkey and Iran. The main group was based in Turkey and set up camps in 'safe havens' in north Iraq. Contingents were sent by the US, the UK, Canada, France, Germany, Italy, Luxembourg, the Netherlands and Spain (the first occasion this century that Spanish troops have served outside Spanish terri- tory or colonies). German troops and helicopters also provided support in Iran. Plans are being developed to retain an allied force in south-east Turkey as a deterrent against renewed Iraqi persecution of the Kurds.",'28,'99.07226563
'4,'Section header 4,"'Nuclear Forces",'29,'93.70117188
'4,'Text 18,"'France's SSBN force has been reduced by one: Le Redoutable was taken out of service in Feb- ruary 1991 and decommissioning will be completed in October 1991. Four SSBN remain operational, one (Le Foudroyant) remains in long refit (completion due in early 1993) and Le Triomphant is still under construction and scheduled to be operational in 1994. France is in the process of reviewing the future of its nuclear triad, with a strong chance that only one delivery system (an IRBM or an air-launched stand-off missile) will be deployed alongside five rather than six SSBN. However, it has been decided that the S-3 SSM replacement will not be the mobile S-45 IRBM. The SSM component of France's 'prestrategic' nuclear forces is to be modernized, with a first Hadès regiment replacing Pluton in the spring of 1992. A second regiment is planned, but it is doubtful whether a third will be deployed. Pluton, currently deployed in five regiments, will be gradually phased out. France has indicated its decision to sign the Nuclear Non-Proliferation Treaty. The UK's Vanguard-class SSBN construction con- tinues on schedule with the third submarine being laid down in early 1991. There are fre- quent press reports of faults affecting the UK Polaris force which may comprise only one fully serviceable SSBN. A decision to replace free-fall nuclear bombs with a stand-off weapon has been delayed and must now be complicated by the uncertainty over the make-up of French nuclear forces. Following the withdrawal by the US of its nuclear warheads, Germany has destroyed all its 72 Pershing 1A SSM; it inherited some 20 SS-23 missiles from the NVA which are to be destroyed. There has been no progress towards instituting SNF treaty nego- tiations, but it is generally accepted that there is no longer a role for ground-launched nuclear weapons and that both SSM and artillery warheads should be withdrawn.",'30,'97.41210938
'4,'Section header 5,"'Conventional Forces",'31,'91.65039063
'4,'Text 19,"'Belgium has announced plans to withdraw the majority of its forces from Germany, leaving only one brigade by 1995. Manpower is to be cut by 20% and conscription reduced to eight months in 1993. A number of Army units will be disbanded, up to one third of the Air Force's combat aircraft will be mothballed and the Navy will retire a total of 14 minesweepers (seven were decommissioned last year with only two replacements entering service) and further reduce operational readiness. During the year 12 more F-16s were delivered and placed 'in store'.",'32,'96.24023438
'4,'Text 20,"'Canadian armed forces also face cuts due to the reduction in defence spending; the future of Canadian forces in Germany must be in question (1,400 men are already to be withdrawn in 1992). The Vice-Chief of Defence Staff has resigned in protest at future naval plans which he believes will reduce 'blue water' capability to an unacceptable level. The submarine replace- ment programme remains in limbo, and while the first Halifax-class frigate entered service early in 1991, the programme which is to provide 12 ships is much delayed.",'33,'95.50781250
'4,'Text 21,"'Denmark has increased its tank strength by 110 Leopard 1A3/4 and has acquired 12 Fennec AS-550 helicopters. The Navy has commissioned the first of four Thetis-class PCO, with a sec- ond due before the end of 1991, and two more Flyvefisken-class PFC with a further two due before the end of the year. Six Soloven torpedo craft have been retired.",'34,'94.67773438
'5,'Header 4,"'NATO",'35,'85.54687500
'5,'Page number 4,"'49",'36,'91.65039063
'5,'Text 22,"'The French Army is in the process of a major reorganization with troop strength to be drawn down to 250,000 men. One army corps has been disbanded and its units resubordinated. One tank division is to be disbanded during 1991. The system for Territorial Defence has been radically altered, having now only three instead of six regions; the number of territorial defence units remains the same: seven brigades and 22 regiments. The Army has taken delivery of some 70 AMX-10RC recce vehicles, nine more MLRS, six more AS-332M and seven more SA-342M (HOT armed) helicopters. The Navy commissions a fifth Rubis- class SSN later this year and will have retired two Daphné-class submarines. Also retired are the cruiser Colbert and destroyer Du Chayla. The Air Force inventory totals are higher than The Military Balance has previously listed: 207 Mirage F-1 (as opposed to 166), 113 Mirage III (86), 156 Jaguar (111), 159 Alpha Jet (107). The length of compulsory military service is to be reduced from 12 to ten months in October 1991.",'37,'99.12109375
'5,'Text 23,"'German armed forces face major problems as they: absorb former NVA units into the Bundeswehr (being drastically reduced from six active and five mobilization divisions to six Home Defence brigades in the eastern part of Germany); reallocate weapons and equipment to standardize unit holdings predominantly with western equipments, and begin the process of eliminating large numbers of CFE TLE and dispose of large quantities of material not cov- ered by the Treaty and ammunition for which there is no further use in the Bundeswehr. Ger- many is committed by the 'Two Plus Four' treaty to reducing in the next three to four years the strength of the armed forces to 370,000, of whom no more than 345,000 can be in the Army and Air Force. It is planned to allocate the 370,000 posts as follows: 260,000 to the Army, 83,000 Air Force and 26,200 Navy. Large numbers of former NVA soldiers, including about 40,000 officers and senior NCOs, have already been retired. 17,000 officers and NCOs have been retained at present only on a two-year contract. West German officers were sur- prised on three counts when they took over command of the former NVA: the appalling liv- ing conditions of both officers and men; the very high state of readiness maintained by all units and, in contradiction to the first point, the high standard of maintenance of equipment; and the much larger than estimated stocks of ammunition. Bundeswehr officers now hold all command appointments in the Eastern Command. With the exception of BMP fighting vehicles and MiG-29 aircraft, all former NVA equipment is to be disposed of, The Military Balance therefore lists them as 'in store'. The Army has brought 27 more MLRS and 20 more Roland SP SAM into service during the last year. The Navy has taken delivery of four more Hameln MCM vessels and the Air Force has much improved its air-defence capability, having added 34 more Roland and 48 Patriot SAM launchers to its inventory.",'38,'97.85156250
'5,'Text 24,"'Fresh information has allowed a revision of Greek Army formations, the main change is that the parachute/commando units no longer form a division. Equipment holdings remain almost the same, and the Navy has retired one destroyer and one LSM.",'39,'86.13281250
'5,'Text 25,"'There have been several organizational changes in the Italian Army. The Field Army has been reduced in size while Territorial Defence has been increased and the number of mobilizable brigades has been reduced. All motor brigades are now classified as mechanized. Tank holdings have dropped to 1,220 as the 300 M-47 held in store are now shown under US totals for CFE. The Air Force has formed a second AMX close air support squadron and air- craft holdings have increased from 15 to 52. The last three Minerva-class frigates have now been commissioned. The first two aircraft for the carrier Garibaldi, both training versions, have been delivered.",'40,'95.84960938
'5,'Text 26,"'The Netherlands forces have announced large-scale reductions: manpower is to be cut by 15% over the next five years and by 30% by the year 2000; conscription was reduced to 12 months in October 1990. The Army will move onto a new structure over the next few years. The number of divisions is being reduced by one, and the two remaining will have only two brigades each, each with two armoured and two mechanized infantry battalions (as opposed to three brigades of three battalions). The independent brigade remaining in Germany will contain one tank, one armoured infantry and two armoured reconnaissance battalions. Approval has been given to form an air-mobile brigade as part of the multinational air-mobile division; it will have 40 PAH-1 attack helicopters and 25 transport helicopters, all of which",'41,'96.53320313
'6,'Page number 5,"'50",'42,'97.46093750
'6,'Header 5,"'NATO",'43,'83.00781250
'6,'Text 27,"'still have to be procured. It is planned to disband all five nuclear-capable artillery battalions by 1995. The Navy will commission a second Zeeleeuw-class submarine in the second half of 1991 and will retire one Dolfijn-class. The Karel Doorman, the first of a new class of eight frig- ates which is armed with Harpoon and carries a helicopter, has been commissioned. Dutch Marines are in the process of reorganizing into an operational group of three battalions, plus a logistics and a support battalion. The Air Force has seven more F-16 FGA and has formed a fourth squadron. All NF-5 aircraft have been disposed of, mainly by transfer to Greece and Turkey.",'44,'98.82812500
'6,'Text 28,"'In the Norwegian armed forces CFE-declared tank holdings are higher at 211 because the NM-116 is classed as a battle tank. Holdings of NM-142 (M-113 mounting TOW) are now known to be about 100. The Navy has commissioned a third Ula-class submarine, placed the two Sleipner corvettes into reserve and has retired three Storm-class PFM. The Air Force has retired its Nike Hercules SAM and plans to form ten batteries of RB-70.",'45,'97.65625000
'6,'Text 29,"'The Portuguese Navy has commissioned two Vasco Da Gama (MEKO 200) frigates which are armed with Harpoon and Sea Sparrow. No helicopters have yet been acquired for these ships, which reduces their effectiveness. Conscript service has been reduced from 18-20 months to 15-18 months.",'46,'97.26562500
'6,'Text 30,"'The Spanish Air Force has been reorganized on a regional basis from its previous func- tional commands. There are four commands: Central, Eastern, Gibraltar Strait and Canary Islands. Army manpower has been reduced by some 19,000; the number of conscripts is reduced by over 43,000, but career and extended service numbers are up by 24,000. Aircraft holdings have risen by six EF-18 fighters. The Navy has commissioned two new Serviola off- shore patrol vessels.",'47,'97.26562500
'6,'Text 31,"'Turkish armed forces strength has dropped from 647,000 to 578,000 mainly from the Army. The Army has taken delivery of a further 70 Leopard MBT. The Air Force has now received all 60 NF-5 FGA from the Netherlands; and the first four of 40 F-4E FGA from the United States.",'48,'96.43554688
'6,'Text 32,"'The United Kingdom originally announced its Options for Change plan for reducing the size of its armed forces and defence spending in July 1990. It was then set aside until after the Gulf War. More details have recently been released. Army strength is to be reduced by 44,000, the UK command system reorganized and British troops in Germany reduced to a Corps HQ, an armoured division and some corps troops. An order has been placed for two regiments' worth of Challenger 2 tanks and the full order for MLRS will be completed. Unit cuts will include 17 infantry battalions, eight armoured, and armoured recce regiments and six artillery regiments including that equipped with Lance SSM. There is less information on Naval plans available; replacements for the two LPD assault ships are planned, and an aviation support ship (for marine helicopter lift) will be procured. It has now been confirmed that the new class of nuclear-powered submarine, the SSN-20, will not be ordered, nor will tenders be accepted for the building of seven minehunters as the proposed purchase has been shelved. Tenders for three Type 23 frigates have been invited, but no date for placing firm orders has been set. The Air Force is to close two bases in Germany; of the remaining two, one will contain the four squadron Tornado force, the other two Harrier, and two helicopter squadrons. The sole Tor- nado reconnaissance squadron will be withdrawn to the UK. During the last year the British Army took delivery of 160 Warrior AIFV and equipped a fifth battalion with Warrior. An artillery regiment was equipped with MLRS and took part in Operation Desert Sabre, two more regiments are converting to MLRS and 22 MLRS launchers were delivered. A further 17 Lynx attack helicopters with TOW ATGW were delivered. During the year the Navy retired seven submarines (1 Valiant, 2 Churchill and 4 Oberon).",'49,'97.55859375
'6,'Section header 6,"'Defence Spending",'50,'72.02148438
'6,'Text 33,"'Defence spending in 1990 (according to NATO definitions at 1985 prices and exchange rates, using OECD deflators) rose in five countries: France, Germany, Luxembourg, Norway and Turkey. It fell in the rest.",'51,'95.99609375
'7,'Header 6,"'NATO",'52,'37.67089844
'7,'Page number 6,"'51",'53,'58.98437500
'7,'Text 34,"'BELGIUM",'54,'34.74121094
'7,'Table 1,"",'55,'57.66601563
'7,'Text 35,"'fr = Belgian francs",'56,'28.34472656
'7,'Text 36,"'Population: 9,860,800",'57,'32.64160156
'7,'Table 2,"",'58,'50.00000000
'7,'Section header 7,"'TOTAL ARMED FORCES:",'59,'41.67480469
'7,'Text 37,"'ACTIVE: 85,450 (3,050 women, 34,100 conscripts).",'60,'50.97656250
'7,'Text 38,"'Terms of service: 10 months in Germany or 12 months in Belgium.",'61,'50.39062500
'7,'Text 39,"'RESERVES: Total Reserve Status: 234,000. With service in past 3 years: 146,400 (Army 147,400; Medical Service 34,400; Navy 11,500; Air Force 40,700).",'62,'66.01562500
'7,'Text 40,"'ARMY: 62,700 (27,850 conscripts). Both figures incl Medical Service.",'63,'50.87890625
'7,'List 1,"",'64,'36.20605469
'7,'Text 41 - Part of List 1,"'1 Corps HQ.",'65,'47.94921875
'7,'Text 42 - Part of List 1,"'1 armd bde (2 tk, 2 mech inf, 1 SP arty bn, 1 ATK coy).",'66,'50.29296875
'7,'Text 43 - Part of List 1,"'3 mech inf bde (each 1 tk, 2 mech inf, 1 SP arty bn, 1 ATK coy).",'67,'51.56250000
'7,'Text 44 - Part of List 1,"'1 para-cdo regt (3 para-cdo bn, armd recce sqn, ATK coy, arty bty).",'68,'50.00000000
'7,'Text 45 - Part of List 1,"'Recce Comd (2 recce, 1 tk bn).",'69,'42.52929688
'7,'Text 46 - Part of List 1,"'1 indep tk bn.",'70,'39.74609375
'7,'Text 47 - Part of List 1,"'3 SP arty bn.",'71,'41.30859375
'7,'Text 48 - Part of List 1,"'1 SSM bn: 2 bty, each with 2 Lance.",'72,'43.31054688
'7,'Text 49 - Part of List 1,"'4 AD bn: 2 HAWK; 2 Gepard AA.",'73,'39.55078125
'7,'Text 50 - Part of List 1,"'4 engr bn (2 fd, 1 bridge, 1 eqpt).",'74,'38.45214844
'7,'Text 51 - Part of List 1,"'3 It avn sqn.",'75,'32.86132813
'7,'Section header 8,"'RESERVES: some on immediate recall status;",'76,'28.46679688
'7,'Text 52,"'MBT: 334 Leopard 1, 25 M-41. LIGHT TANKS: 133 Scorpion (CFE HACV). RECCE: 153 Scimitar. AIFV: 514 AIFV-B (CFE: 236)a. APC: 1,421 (CFE: 932)a: incl 525 M-113 (CFE: 190), 266 Spartan (CFE: 198), 510 AMX-VCI (CFE: 424), 43 BDX, 77 M-75.",'77,'33.86230469
'7,'Text 53,"'2 mech inf bde; 2 inf, 1 SP arty bn, cbt spt, log spttp Territorial defence: 11 mot inf regt, 4 inf bn.",'78,'30.44433594
'7,'Section header 9,"'EQUIPMENT:",'79,'33.03222656
'7,'Text 54,"'TOTAL ARTY: 376 (60 in store).",'80,'31.95800781
'7,'Text 55,"'TOWED ARTY: 105mm: 21 M-101.",'81,'30.78613281
'7,'Text 56,"'SP ARTY: 207: 105mm: 28 M-108; 155mm: 41 M-109A3, 127 M-109A2; 203mm: 11 M-110.",'82,'33.86230469
'7,'Text 57,"'BASES: Ostend, Zeebrugge, Kallo (to close 31 Dec 1991). FRIGATES: 4 Wielingen with 2 X ASTT (Fr L-5 LWT), 1 X 6 ASW mor; plus 4 X MM-38 Exocet SSM, I X 100mm gun. MINE WARFARE: 22 MCMV: 6 Van Haverbeke (US Aggressive MSO). 10 Aster (tripartite) MHC. 2 Stavelot (US Adjutant) MSC. 4 Herstal MSI. 2 log spt/comd, 1 research/survey vessels. HELICOPTERS: 3 SA-318.",'83,'34.42382813
'7,'Text 58,"'MORTARS: 107mm: 130 M-30 (incl some SP);",'84,'29.83398438
'7,'Text 59,"'120mm: 18. Plus 81mm: 285.",'85,'25.68359375
'7,'Text 60,"'SSM: 5 Lance launchers.",'86,'37.06054688
'7,'Text 61,"'ATGW: 420 Milan (325 veh-mounted), 43 Striker",'87,'41.21093750
'7,'Text 62,"'AIR FORCE: 18,200 (4,650 conscripts). FGA: 4 sqn with F-16A/B. 1 sqn with Mirage 5 BA/BD. FIGHTER: 2 sqn with F-16A/B. RECCE: 1 sqn with Mirage 5BR. TRANSPORT: 2 sqn: 1 with 12 C-130H; 1 with 2 Boeing 727QC, 3 HS-748, 5 Merlin IIIA, 2 Falcon 20. LIAISON: 1 sqn with CM-170. TRAINING: 3 sqn: 2 with Alpha Jet; 1 with SF-260. SAR: 1 sqn with Sea King Mk 48. EQUIPMENT: 144 cbt ac (plus 41 in store), no armed hel, AIRCRAFT: Mirage: 36. 5BA: 18 (FGA); 5BR: 18 (recce); plus 29 in store (19-BA, 10-BD). F-16: 108: A/B: 72 (FGA), 36 (ftr); plus 12 in store. C-130: 12 (tpt). Boeing 727: 2 (tpt). HS-748: 3 (tpt). CM-170: 18 (liaison). SF-260: 28 (trg). Alpha Jet: 31 (trg). HELICOPTERS: Sea King: 5 (SAR). MISSILES: AAM: AIM-9 Sidewinder.",'88,'45.80078125
'7,'Text 63,"'AFV with Swingfire (in store).",'89,'32.69042969
'7,'Text 64,"'ATK GUNS: 80 JPK-90mm SP (CFE HACV).",'90,'35.62011719
'7,'Section header 10,"'NAVY: 4,550 (1,600 conscripts).",'91,'28.54003906
'7,'Text 65,"'35mm: 54 Gepard SP.",'92,'36.15722656
'7,'Text 66,"'FORCES ABROAD: FRG: 22,800 (reducing);",'93,'46.28906250
'7,'Text 67,"'AD GUNS: 20mm: 36 HS-804, 100 M-167 Vulcan;",'94,'39.50195313
'7,'Text 68,"'SAM: 39 Improved HAWK.",'95,'40.16113281
'7,'Text 69,"'AIRCRAFT: 10 BN-2A Islander.",'96,'39.69726563
'7,'Text 70,"'HELICOPTERS: 51 SA-313/-318 (no attack hel).",'97,'39.84375000
'7,'Title 3,"'SUPPORT AND MISCELLANEOUS: 3:",'98,'30.39550781
'8,'Page number 7,"'52",'99,'95.75195313
'8,'Header 7,"'NATO",'100,'72.31445313
'8,'Text 71,"'1 corps HQ, 1 armd, 1 mech inf bde; COMRECCE; 3 arty, 1 SSM, 2 Gepard AA, 2 SAM, 3 engr bn, 200 MBT; 3 hel sqn. UN AND PEACE-KEEPING: MIDDLE EAST (UNTSO): 4 Observers.",'101,'30.02929688
'8,'Text 72,"'PARAMILITARY: GENDARMERIE 16,800; 62 FN, 80 BDX, 5 SA-313, 3 Puma hel.",'102,'63.62304688
'8,'Text 73,"'FOREIGN FORCES: NATO: HQ NATO Brussels. HQ SHAPE Mons. US: 2,700.",'103,'38.76953125
'8,'Text 74,"'a CFE-countable AIFV/APC numbers in parentheses, remainder are non-countable 'look alikes'.",'104,'72.80273438
'8,'Section header 11,"'CANADA",'105,'52.83203125
'8,'Table 3,"",'106,'32.20214844
'8,'Text 75,"'a Canadian fiscal year is 1 April-31 March. NATO data refer to calendar year.",'107,'59.47265625
'8,'Text 76,"'Canadian Armed Forces are unified and are organized in functional commands. Mobile Command commands land combat forces, and Maritime Command all naval forces. Air Command commands all air forces, but Maritime Command has operational control of maritime air forces. Mobile Command has operational control of TAG. HQ 4 ATAF in Europe has operational control of 1 Canadian Air Division. This entry is set out in the traditional single service manner.",'108,'97.46093750
'8,'Text 77,"'TOTAL ARMED FORCES:",'109,'37.67089844
'8,'Text 78,"'ACTIVE: 86,600; 9,400 women; of the total strength some 10,400 are not identified by service.",'110,'81.44531250
'8,'Text 79,"'RESERVES: Primary 29,200. Army (Militia) (incl comms) 24,000; Navy 3,600; Air 1,600. Supplementary 35,300.",'111,'81.83593750
'8,'Text 80,"'ARMY (Land Forces): 35,800.",'112,'67.48046875
'8,'List 2,"",'113,'35.40039063
'8,'Text 81 - Part of List 2,"'1 div HQ:",'114,'49.60937500
'8,'Text 82 - Part of List 2,"'1 mech bde gp each with 1 armd regt, 2 mech inf bn, 1 arty, 1 engr regt.",'115,'58.69140625
'8,'Text 83 - Part of List 2,"'3 inf bde gp, 2 with 1 armd regt, 3 mech inf bn, 1 arty, 1 engr regt. 1 with 1 armd regt, 1 inf bn, 1 AB, 1 arty, 1 engr regt.",'116,'67.04101563
'8,'Text 84 - Part of List 2,"'1 AD regt (4 bty).",'117,'56.29882813
'8,'Text 85 - Part of List 2,"'RESERVES: Militia: 18 armd, 18 arty, 52 inf, 11 engr, 20 spt bn level units, 11 med coy. Canadian Rangers: Northern region: 750: 37 patrols (to increase). Newfoundland: 900.",'118,'77.19726563
'8,'Section header 12 - Part of List 2,"'EQUIPMENT:",'119,'35.88867188
'8,'Text 86 - Part of List 2,"'MBT: 114 Leopard C-1 (CFE: 77). RECCE: 174 Lynx, 195 Cougar. APC: 1,405 (CFE: 277): 881 M-113 A2 (136 in store), 55 M-577, 269 Grizzly, 200 Bison. TOWED ARTY: 255: 105mm: 12 Model 44 (L-5) pack, 189 C1 (M-101) (CFE: 4); 155mm: 54 M-114 (in store). SP ARTY: 155mm: 76 M-109 (CFE: 26). MORTARS: 81mm: 150. ATGW: 150 TOW (incl 64 M-113 SP). RCL: 84mm: 780 Carl Gustav. AD GUNS: 35mm: 20 GDF-005; 40mm: 57 L40/60. SAM: 14 ADATS, 111 Blowpipe, 14 Javelin.",'120,'27.70996094
'8,'Text 87,"'NAVY (Maritime Forces): 17,400. SUBMARINES: 3 Ojibwa (UK Oberon) SS with Mk 48 HWT; plus Harpoon USGW.",'121,'64.94140625
'8,'Section header 13,"'PRINCIPAL SURFACE COMBATANTS: 19: FRIGATES: 19:",'122,'52.73437500
'8,'Text 88,"'FFH: 11:",'123,'42.26074219
'8,'List 3,"",'124,'64.50195313
